ID;ImiÍ;Nazwisko ;Wiek;Kurs
1;Anna;NOWAK;34;DS.
2;Roman;KOWALSKI;42;DS.
3;Tomasz;WIåNIEWSKI;33;DS.
4;Anna;;43;DS.
5;Eløbieta;KOWALCZYK;NULL;Tester
6;Anna;KOWALCZYK;NULL;Java
7;Robert;KOWALCZYK;NULL;Java
8;Rados≥aw;ZIELI—SKI;NULL;Java
9;Robert;WOèNIAK;NULL;Java
10;Robert;SZYMA—SKI;34;Tester
11;Rados≥aw;D•BROWSKI;35;
12;Robert;KOZ£OWSKI;NULL;UX
13;Joanna;MAZUR;26;UX
14;Rados≥aw;JANKOWSKI;27;UX
15;Patryk;LEWANDOWSKI;28;
16;;ZIELI—SKI;28;
17;Andrzej;WOèNIAK;31;
18;Andrzej;LEWANDOWSKI;30;
19;Roman;KOWALCZYK;39;
20;Ewa;WOèNIAK;31;
